,AD,ADOSC,APO,AROONDOWN,AROONOSC,AROONUP,BANDSLOWER,BANDSMID,BANDSUPPER,BOP,CCI,CLOSE,CMO,ClassificationMinMax,ClassificationTrend,ClassificationTrendValleyBuy,DEMA,EMA,FAMA,HIGH,HTTREND,KAMA,LOW,MA,MACD,MACDHist,MACDSignal,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DM,MOM,OBV,OPEN,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,SAR,SAREXT,SMA,STOCHFastK,STOCHRSIFastD,STOCHRSIFastK,T3,TEMA,TRIMA,TRIX,VOLUME,WILLR,WMA
88,-7510589.676383462,-69457.22949953191,0.11743589743589311,92.85714285714286,64.28571428571429,28.571428571428573,19.824637539119035,20.801199999999994,21.777762460880954,-0.5180722891566272,80.30746285779797,21.25,8.829835270110289,0,-1,0,21.13978057965345,20.79666241632549,20.75387527918648,21.88,20.802133333333337,19.66001276763868,21.05,20.716333333333335,0.23495587132886087,0.0803478728534516,0.15460799847540926,21.10306878185083,68.42318558572748,20.945,21.375,1.3191415744236945,1.1999999999999993,-12213800.0,21.68,3.3120848406768477,0.5639387055267012,5.985037406483795,0.05985037406483787,1.059850374064838,105.9850374064838,54.41491763505515,20.249364679168004,20.249364679168004,20.716333333333335,28.57142857142862,46.38642418652481,7.460701223610962,21.396050506490695,21.203647704892738,20.634333333333295,0.09555276256338896,322500.0,-54.54545454545455,20.85262365591398
89,-7543956.840562566,-114288.62225790508,0.23153846153845592,85.71428571428572,64.28571428571429,21.42857142857143,19.854060078614797,20.792799999999993,21.73153992138519,0.36567164179104367,122.03812577943931,21.77,18.201108265601242,1,-1,0,21.239184517129626,20.85945838946578,20.763438780775775,22.5,20.88013333333334,19.721456118424836,21.16,20.779666666666667,0.27278388653018126,0.0945407104438176,0.17824317608636367,21.136415342758287,69.11313818900044,20.945,21.375,1.2249171762505735,1.120000000000001,-11841200.0,21.28,3.695507352057074,1.1111111111110832,5.423728813559325,0.054237288135593274,1.0542372881355933,105.42372881355932,59.10055413280062,20.349390092001283,20.349390092001283,20.779666666666667,45.25139664804464,35.268839298369144,66.64724533553299,21.486912275840893,21.333177342861234,20.659333333333294,0.09767749854197039,372600.0,-35.636363636363654,20.92060215053764
90,-6176761.872009107,312777.7181768529,0.5233974358974294,100.0,85.71428571428572,14.285714285714286,19.120963541462455,20.972399999999993,22.82383645853753,0.7232704402515715,299.211317418213,24.9,50.90994260281012,-1,-1,-1,21.719228193871505,21.12013849337121,21.32713100342662,25.33,21.02456666666667,20.19047766696815,22.15,20.957666666666668,0.5489991817844349,0.29660480455845695,0.2523943772259779,23.018207671379145,82.79598300717855,22.475,22.665,1.1374230922326753,4.149999999999999,-9967200.0,22.6,6.261542541195853,2.4982253879668734,19.999999999999996,0.19999999999999993,1.2,120.0,75.45497130140507,20.44541448832123,20.44541448832123,20.957666666666668,89.95327102803738,58.03598218638131,100.0,21.94838509792781,22.012368050596454,20.69883333333329,0.10448643316172124,1874000.0,-8.067542213883675,21.18643010752689
91,-6023089.872009103,507947.9739749953,0.6842307692307621,92.85714285714286,85.71428571428572,7.142857142857143,18.83795804234235,21.125999999999994,23.414041957657638,-0.34399999999999975,219.56887486855908,24.44,41.92773483352337,1,1,1,22.09512810996353,21.3343231067021,21.927624211492358,24.97,21.213875,20.47292643384707,23.72,21.102333333333334,0.7224556190145783,0.37604899343088033,0.346406625583698,23.72910383568957,87.36226676295105,22.475,22.665,1.056178585644627,3.7200000000000024,-10978200.0,24.87,5.8142895025390064,3.2419134396354985,17.953667953667974,0.17953667953667965,1.1795366795366797,117.95366795366797,70.96386741676169,20.738489619021955,20.738489619021955,21.102333333333334,79.20560747663556,81.76724966619378,78.65450366304836,22.597250841005106,22.520637775289227,20.749624999999952,0.11438883612486794,1011000.0,-16.69793621013128,21.411096774193556
92,-5534600.1812874535,697041.8007606706,0.8682692307692257,85.71428571428572,85.71428571428572,0.0,18.545742602250638,21.285599999999995,24.025457397749353,0.4948453608247433,172.68406814359824,24.98,45.99166853726398,-1,-1,-1,22.501279324316844,21.56952806756003,21.99537756160813,25.0,21.42397230392157,20.780210853985263,24.03,21.25066666666667,0.8931983476819063,0.4374333776785666,0.4557649700033397,23.818736186294174,91.03968049203036,22.814999999999998,22.685,0.9807372580985823,4.129999999999999,-10468700.0,24.5,5.428983109500507,4.0813190389239145,19.808153477218227,0.19808153477218218,1.1980815347721823,119.80815347721823,72.99583426863198,21.01398024188064,21.01398024188064,21.25066666666667,91.8224299065421,88.98887327375304,88.31211615821081,23.31701677777137,23.059254216117214,20.818374999999953,0.1273712649598968,509500.0,-6.616257088846842,21.66126881720431
93,-5814522.1325069675,621964.8544430844,1.0541025641025605,100.0,100.0,0.0,18.390677282396222,21.425999999999995,24.461322717603768,-0.2256097560975615,131.6901528738578,24.63,39.192547099270534,1,-1,0,22.823327247286535,21.76697786965293,22.55262519449287,25.69,21.623687908496734,20.954662175560806,24.05,21.358333333333338,0.9888720143280239,0.42648563545974727,0.5623863788682766,24.224368093147085,91.91177991138224,22.85,23.07,0.9106845968058264,3.2699999999999996,-11425100.0,25.0,5.7311986016790435,4.922439547149909,15.30898876404494,0.15308988764044942,1.1530898876404494,115.30898876404494,69.59627354963526,21.2729414273678,21.2729414273678,21.358333333333338,76.6004415011037,77.047761398859,64.17666437531786,23.938695615420016,23.461863291403873,20.907458333333285,0.142196565447672,956400.0,-20.22900763358782,21.87929032258065
94,-3384733.2811556156,1307823.9332483122,1.4463461538461502,100.0,100.0,0.0,17.465905469060957,21.781999999999993,26.09809453093903,0.8243243243243245,192.8341307508534,29.36,63.75765904021302,-1,-1,-1,23.703315794870687,22.256850265159194,23.612514907513038,29.97,21.93424795751634,21.82606693752489,24.05,21.604333333333336,1.4298827558390528,0.693997101576621,0.7358856542624318,26.792184046573542,94.34214663767277,25.04,25.240000000000002,0.8456356970339817,8.36,-8364600.0,24.48,9.60182727298768,6.655634413550181,39.8095238095238,0.39809523809523806,1.398095238095238,139.8095238095238,81.8788295201065,21.626306113178376,21.626306113178376,21.604333333333336,92.1994884910486,84.16292684450954,100.0,24.954302077754107,24.665603333246874,21.03845833333328,0.16454880877059264,3060500.0,-6.448202959830862,22.395526881720436
95,-3769397.1229635263,1347116.5218889965,1.7114743589743604,92.85714285714286,78.57142857142857,14.285714285714286,17.16384170577921,22.086399999999994,27.00895829422078,-0.3163841807909612,157.320024198427,28.04,46.02817609801537,0,-1,0,24.332136924255476,22.62995669966505,23.693566405931335,29.1,22.30884967320262,22.52183016619039,27.33,21.85866666666667,1.653809886585993,0.734339385858849,0.919470500727144,26.854574844244866,95.29387691826562,25.105,25.240000000000002,0.7852331472458401,6.849999999999998,-10309900.0,28.6,8.915982467774274,7.771412936539818,32.326569136385075,0.32326569136385075,1.3232656913638507,132.32656913638507,73.01408804900768,22.46067550186054,22.46067550186054,21.85866666666667,69.12,64.00107938559294,27.826573781461004,26.033677286616935,25.47155836826832,21.205374999999947,0.19094044881691197,1945300.0,-20.401691331923892,22.810731182795703
96,-2522771.197037601,1637379.328046707,2.0862179487179446,100.0,92.85714285714286,7.142857142857143,16.731760247913016,22.462799999999998,28.19383975208698,0.654320987654321,158.37587161778924,29.84,53.432135499077226,1,-1,0,25.122636426977213,23.09512078355763,23.776323398333865,30.5,22.8329705882353,23.487879802012795,28.07,22.16666666666667,1.9539942780648083,0.8276190218701314,1.126375256194677,27.00384610203262,96.24997216031898,25.42,25.505000000000003,0.7291450652997087,8.0,-7580800.0,28.25,9.679126577218968,9.319873997709024,36.630036630036635,0.3663003663003663,1.3663003663003663,136.63003663003664,76.71606774953862,23.211607951674484,23.211607951674484,22.16666666666667,89.79907264296753,61.93109622190874,57.966714884265244,27.18085433013681,26.492892847055217,21.40887499999995,0.2225788505534565,2729100.0,-6.606606606606609,23.325655913978498
97,-4027081.4911552444,1128626.3526150016,2.4882051282051236,100.0,100.0,0.0,16.36891119117621,22.885199999999994,29.40148880882378,0.21323529411764783,166.83066830668298,30.8,56.8333113016013,0,1,1,25.9539366726391,23.59220976526359,23.861756658298795,32.94,23.497297385620918,24.501598473552395,30.22,22.49366666666667,2.2434949348865025,0.8936957429534604,1.349799191933042,27.193653796930988,96.81524827747653,25.9,26.794999999999998,0.677063274921158,9.39,-4957900.0,30.22,11.427760393131896,10.921102239028507,43.85801027557217,0.4385801027557216,1.4385801027557217,143.85801027557216,78.41665565080065,24.086214997473547,24.086214997473547,22.49366666666667,75.92800899887517,52.53518580057803,71.81226873600787,28.355139410813806,27.548438699638584,21.65333333333328,0.25924137166164485,2622900.0,-17.412530512611855,23.882645161290327
